codigo_registro,data_pregao,codigo_mercado,ativo,codigo_bdi,nome,especificador,identificacao_mercado,moeda_cotacao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,preco_melhor_compra,preco_melhor_venda,numero_negocios,quantidade_acoes,volume_financeiro,preco_fechamento_ajustado,fator_ajuste,codigo_papel_registro
01,2022-02-09,02,BRFS3,010,BRF SA,ON,NM,R$,18.6,18.9,18.23,18.64,18.9,18.9,0,18911977900000,139909000.0,2608411.49,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-07,02,VALE3,010,VALE,ON,NM,R$,80.4,84.0,79.79,82.16,84.0,84.0,0,84019198800000,352131000.0,28931941.49,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-07,02,PETR4,010,PETROBRAS,PN,N2,R$,28.11,28.29,27.82,28.07,28.18,28.18,0,28196796900000,475076000.0,13336692.27,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-07,02,BRFS3,010,BRF SA,ON,NM,R$,24.34,25.46,23.65,24.42,24.6,24.5,0,24604864700000,258427000.0,6311250.57,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-25,02,VALE3,010,VALE,ON,NM,R$,84.06,85.05,83.05,83.98,84.06,84.05,0,84106831800000,224905000.0,18889174.51,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-25,02,VALE3,010,VALE,ON,NM,R$,86.52,92.41,85.1,89.75,92.28,92.25,0,92290755500000,510283000.0,45801073.03,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-25,02,PETR4,010,PETROBRAS,PN,N2,R$,31.7,33.23,31.58,32.51,32.99,32.99,0,33002175200000,983585000.0,31981738.64,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-25,02,BRFS3,010,BRF SA,ON,NM,R$,23.22,23.4,22.58,23.0,23.25,23.25,0,23261902800000,81486000.0,1874739.69,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-25,02,PETR4,010,PETROBRAS,PN,N2,R$,33.45,34.0,32.9,33.57,34.0,33.95,0,34002329100000,861891000.0,28933970.42,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-25,02,BRFS3,010,BRF SA,ON,NM,R$,17.38,17.5,16.57,16.85,16.71,16.71,0,16732847900000,159651000.0,2690408.29,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-10,02,VALE3,010,VALE,ON,NM,R$,92.45,94.48,92.03,93.49,93.87,93.85,0,93870062500000,478889000.0,44773964.03,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-10,02,PETR4,010,PETROBRAS,PN,N2,R$,32.3,32.9,31.94,32.53,32.44,32.43,0,32448626400000,495346000.0,16117404.38,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-10,02,BRFS3,010,BRF SA,ON,NM,R$,19.01,19.39,18.8,19.14,19.14,19.11,0,19142219200000,115895000.0,2219296.16,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-10,02,VALE3,010,VALE,ON,NM,R$,82.49,84.27,82.3,83.16,83.0,82.99,0,83008085800000,250567000.0,20838726.89,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-10,02,PETR4,010,PETROBRAS,PN,N2,R$,27.99,28.24,27.72,27.92,28.01,28.0,0,28015909000000,374552000.0,10460383.2,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-26,02,VALE3,010,VALE,ON,NM,R$,85.9,86.56,83.82,85.15,84.3,84.28,0,84307828900000,258068000.0,21974841.42,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-10,02,BRFS3,010,BRF SA,ON,NM,R$,24.37,24.75,23.25,23.83,23.52,23.52,0,23612595900000,93880000.0,2237876.02,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-02,02,VALE3,010,VALE,ON,NM,R$,98.97,99.7,97.06,98.64,99.65,99.6,0,99650364400000,421915000.0,41621067.97,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-26,02,PETR4,010,PETROBRAS,PN,N2,R$,33.3,34.27,33.3,33.95,33.87,33.87,0,33893374400000,986799000.0,33506743.7,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-26,02,BRFS3,010,BRF SA,ON,NM,R$,23.4,23.45,22.81,23.05,22.82,22.82,0,22891544400000,43922000.0,1012814.41,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
